,Job Title,Rating,Average_salary,State
178,data scientist,5.0,133.0,NY
179,data scientist,5.0,133.0,NY
180,data scientist,4.0,133.0,NY
181,data scientist,3.5,133.0,NY
182,data engineer,3.4,133.0,NY
183,data scientist,3.6,133.0,NJ
184,other,3.2,133.0,NY
185,data engineer,4.7,133.0,NY
186,data scientist,5.0,133.0,NY
187,other,3.9,133.0,NY
188,data scientist,4.2,133.0,NY
189,data engineer,3.7,133.0,NY
190,data scientist,3.1,133.0,NY
191,data scientist,3.8,133.0,NY
192,other,3.9,134.0,NY
193,other,4.1,134.0,NY
194,data scientist,3.8,134.0,NY
195,machine learning engineer,3.8,134.0,NY
196,data scientist,3.7,134.0,NY
197,data scientist,4.4,134.0,NY
198,data scientist,3.9,134.0,NY
199,data scientist,5.0,134.0,NY
200,data scientist,3.9,134.0,NY
201,machine learning engineer,3.6,134.0,NY
202,researcher,4.2,134.0,NY
203,data scientist,3.9,134.0,NJ
204,data scientist,3.7,134.0,NY
205,data scientist,4.3,134.0,NY
206,data scientist,3.5,134.0,NY
207,data scientist,4.0,134.0,NY
208,machine learning engineer,3.0,134.0,NY
209,data scientist,3.1,152.0,NY
210,analyst,4.0,152.0,NY
211,researcher,5.0,152.0,NY
212,analyst,3.5,152.0,NY
213,analyst,3.6,152.0,NY
214,data scientist,4.4,152.0,NY
215,data scientist,2.6,152.0,NJ
216,data scientist,3.6,152.0,NJ
217,machine learning engineer,4.6,152.0,NY
218,data scientist,4.1,152.0,NY
219,data scientist,3.3,152.0,NY
220,machine learning engineer,3.5,124.5,NY
221,data engineer,4.1,124.5,NY
222,data scientist,3.2,124.5,NY
223,analyst,4.0,124.5,NY
224,director,4.0,124.5,NY
225,analyst,3.6,124.5,NJ
226,data scientist,3.8,124.5,NY
227,data engineer,3.9,124.5,NY
228,data engineer,4.4,124.5,NY
229,other,3.6,124.5,NY
230,machine learning engineer,3.9,124.5,NY
231,data scientist,3.7,124.5,NY
232,data scientist,4.1,124.5,NY
233,analyst,4.4,124.5,NY
234,data scientist,3.7,124.5,NY
235,data scientist,2.5,124.5,NY
236,analyst,4.9,124.5,NY
237,data scientist,3.6,111.5,NY
238,data scientist,3.6,111.5,NY
239,data scientist,3.3,111.5,NY
240,analyst,3.6,111.5,NY
241,researcher,5.0,111.5,NY
242,data scientist,3.8,111.5,NY
243,analyst,4.8,111.5,NY
244,other,4.1,111.5,NY
245,analyst,4.4,111.5,NY
246,analyst,3.3,111.5,NY
247,machine learning engineer,3.7,111.5,NY
248,analyst,4.1,111.5,NY
249,other,4.5,111.5,NY
250,data scientist,3.6,111.5,NJ
251,data scientist,3.2,111.5,NY
252,data scientist,3.8,111.5,NY
253,machine learning engineer,4.1,111.5,NY
254,other,4.8,111.5,NY
255,data engineer,3.9,111.5,NY
256,data engineer,3.6,111.5,NY
257,researcher,3.9,111.5,NY
258,other,4.4,111.5,NY
259,researcher,3.9,111.5,NY
260,analyst,4.8,111.5,NY
261,data scientist,3.9,107.5,NY
262,data scientist,3.6,107.5,NJ
263,analyst,5.0,107.5,NY
264,manager,4.9,107.5,NY
265,data scientist,1.0,107.5,NY
266,data scientist,3.8,107.5,NY
267,analyst,3.4,107.5,NY
268,analyst,3.2,107.5,NY
269,data scientist,4.0,107.5,NJ
270,data scientist,3.9,107.5,NY
271,data engineer,4.9,107.5,NY
272,data scientist,3.4,107.5,NY
273,data scientist,4.8,107.5,NY
274,data engineer,4.4,107.5,NY
275,machine learning engineer,4.7,107.5,NJ
276,data scientist,2.8,107.5,NY
277,data scientist,3.7,107.5,NY
278,data scientist,3.7,107.5,NY
279,analyst,5.0,107.5,NY
280,data scientist,3.7,107.5,NJ
281,data scientist,4.4,107.5,NY
